cue_word,lemma,context
pipe_plumbing,Lemma('pipe.n.02.pipe'),It consists of a series of pipes and a pressure measuring chamber which record the rise and fall of the water surface .
pipe_plumbing,Lemma('pipe.n.02.pipe'),"Vent pipes also are necessary ( as shown in figs. 9 , 10 , and 11 ) , but filters are not ."
pipe_plumbing,Lemma('pipe.n.02.pipe'),"She could not count the times Herman had rapped on the door , just a couple of bangs that shook the whole damned closet and might , someday , break away the pipe connections from the wall ."
tank_army,Lemma('tank.n.01.tank'),Tanks lined up at the border will be no more helpful .
tank_army,Lemma('tank.n.01.tank'),"Somehow , the pictures and stories of Soviet T-34 tanks on Cuban beaches and Russian Mig jet fighters strafing rebel troops has brought home to all of us the stark , blunt truth of what it means to have a Russian military base 90 miles away from home ."
tank_army,Lemma('tank.n.01.tank'),"Russian tanks and planes in Cuba jeopardize the security of the United States , violate the Monroe Doctrine , and threaten the security of every other Latin American republic ."
tank_army,Lemma('tank.n.01.tank'),But it took the pictures of the Migs and the T-34 tanks to do the job .
tank_army,Lemma('tank.n.01.tank'),"Primary target would be shipments of tanks , guns , aviation gasoline and ammunition coming from Russia and Czechoslovakia ."
tank_army,Lemma('tank.n.01.tank'),"The decreases , which are largely in construction and in aircraft procurement , are offset in part by increases for research and development and for procurement of other military equipment such as tanks , vehicles , guns , and electronic devices ."
tank_army,Lemma('tank.n.01.tank'),Once Todman thought he had spotted a tank and went down to investigate while Greg covered him .
tank_container,Lemma('tank.n.02.tank'),There are some sharp and whipping lines and some hilariously funny situations - the best of the latter being a mass impromptu plunge into a nightclub tank where a `` mermaid '' is performing .
tank_container,Lemma('tank.n.02.tank'),Matheson highest purity tank chlorine was passed through a tube of resublimed * * f into an evacuated Pyrex system where it was condensed with liquid air .
tank_container,Lemma('tank.n.02.tank'),The raw sewage was introduced directly under the turbine aerator to insure maximum mixing of the raw sewage with the aeration tank contents .
